"Temp"	"S"	"K"	"BMmax"	"TLmax"	"maxBM"
25	100	1	4	1	22.604756893173
25	100	1	4	2.144610331547	14521.2815393425
25	100	1	4	2.16328481732784	52006.2179233923
25	100	1	4	2.69977584432512	3417.41699169185
25	100	1	4	2.59109785275398	9759.54333774583
25	100	1	4	2.06053349953631	65742.7467912326
25	100	1	4	2	3341.88039516146
25	100	1	4	2	123.605253109182
25	100	1	4	2.80014891153642	2484.81600667207
25	100	1	4	2.56364755661783	3234.16802642882
25	100	1	4	2.13173944160762	33133.1743946687
25	100	1	4	2.64490051839708	12332.3383092325
25	100	1	4	2.71509094324828	7511.85994417331
25	100	1	4	2	51345.7380383085
25	100	1	4	2	268.426308271049
25	100	1	4	3.08766158134988	2874.68725636149
25	100	1	4	2	56408.2735187645
25	100	1	4	2.00040576825528	53432.7771832009
25	100	1	4	2.06252024315157	55548.5770657173
25	100	1	4	2.44732969317123	33996.1507979834
25	100	1	4	2.8856622546667	10575.2992270997
25	100	1	4	2	72717.9595676315
25	100	1	4	2	263.731260805396
25	100	1	4	2	13443.2687708463
25	100	1	4	2	9325.67211528272
25	100	1	4	2	23843.4260614668
25	100	1	4	2.44038425520161	21809.3428469027
25	100	1	4	2	48963.9473313952
25	100	1	4	2.46452275283813	16443.7443181483
25	100	1	4	1	27555.8792121658
25	100	1	4	2.57143354057424	7540.02447282222
25	100	1	4	1	40287.5864380705
25	100	1	4	2.38817133831004	18598.604444987
25	100	1	4	2.66072695061456	14490.7264756015
25	100	1	4	2.5453754298715	10802.594721135
25	100	1	4	3.25777595653728	879.826398261867
25	100	1	4	2.01760861922837	12801.8791244938
25	100	1	4	2.39517883569486	18400.3272150935
25	100	1	4	2.54720520286602	34294.2716724117
25	100	1	4	2.58499071076026	30798.6940015661
25	100	1	4	3.29032004087333	1083.71673882607
25	100	1	4	2	148.842429934081
25	100	1	4	2.02378868287857	35316.3577069945
25	100	1	4	2.15471902071548	19643.6215059504
25	100	1	4	2	71319.0596881468
25	100	1	4	1	1334.45762939155
25	100	1	4	1	32.5730506730065
25	100	1	4	2.36485827966023	22685.0888021385
25	100	1	4	1	29.5996443069483
25	100	1	4	2.10302750689356	5439.59565001567
25	100	1	4	2.79817622764841	11089.5389704039
25	100	1	4	3.21920929328477	4144.45935505409
25	100	1	4	2.8767228281619	4280.76555949273
25	100	1	4	2.18220709710255	28995.4044441373
25	100	1	4	2.00152548974453	7344.10428784959
25	100	1	4	1	24.9474284388804
25	100	1	4	1	11644.3276558483
25	100	1	4	2.05989061076839	33091.0263004572
25	100	1	4	2.12988012154031	4827.57442463149
25	100	1	4	2.29599517266293	3404.68609624581
25	100	1	4	1	28993.877187974
25	100	1	4	2.96012801850763	2066.70713287986
25	100	1	4	1	84444.0284508653
25	100	1	4	2.54025361367927	27673.9505282249
25	100	1	4	2.76505153781862	1721.81313863713
