"Temp"	"S"	"K"	"BMmax"	"TLmax"	"maxBM"
20	50	1	6	4.42503636989609	2848317.27960318
20	50	1	6	3.3270391881634	5893840.00054566
20	50	1	6	3.61104153606118	3404.10105268349
20	50	1	6	3.35748526673794	16536892.2178441
20	50	1	6	2.8566272438714	215.420925135491
20	50	1	6	4.12778185317723	1346726.81860034
20	50	1	6	3.2420585505117	5335473.80362915
20	50	1	6	3.2501811858355	12988661.6637831
20	50	1	6	2.60967209073534	4635.2254753892
20	50	1	6	4.6158543922235	113511.273284932
20	50	1	6	3.99428990199299	11935.3686138241
20	50	1	6	3.88322970309836	14087.0379106485
20	50	1	6	3.9057821689312	10203970.4530872
20	50	1	6	4.14146974578835	432678.815018732
20	50	1	6	4.29710426132233	4017166.3650849
20	50	1	6	3.08185701895162	596.347867111987
20	50	1	6	4.65639491115412	550948.831197785
20	50	1	6	3.89036900061711	4364.09959705289
20	50	1	6	4.71142975216485	1701972.70679645
20	50	1	6	3.09789785136686	18840562.559229
20	50	1	6	3.42634249144575	976843.726189185
20	50	1	6	4.13970139775136	19590599.6335138
20	50	1	6	3.29742619160746	12629147.8109852
20	50	1	6	4.59026474231548	1080406.40742295
20	50	1	6	4.62885924880741	189131.054518727
20	50	1	6	3.48057937556879	4336446.16442205
20	50	1	6	4.42374937379066	9388543.72886434
20	50	1	6	3.23700820553504	12340953.4431299
20	50	1	6	4.0973459401063	42096.788828708
25	50	1	6	3.97087843622121	1490262.78947608
25	50	1	6	3.70167752870506	5487.58255160618
25	50	1	6	2.82680444985492	8141.4341887765
25	50	1	6	2	249.025525784168
25	50	1	6	3.09893380569197	55901.2509944472
25	50	1	6	3.94011425062581	1295757.76702812
25	50	1	6	3.55844840866456	2274872.81580894
25	50	1	6	4.45107010148129	510747.637928114
25	50	1	6	4.84602224261613	121390.325761497
25	50	1	6	2.84018354685526	331.558631659122
25	50	1	6	2.2284722282705	143.695302031822
25	50	1	6	2.99479472374253	79.2921073135865
25	50	1	6	3.88909923601962	1250054.5392423
25	50	1	6	4.51390820671584	472566.796745778
25	50	1	6	3.75290806447373	431080.517323127
25	50	1	6	3.90725111505852	324510.156516024
25	50	1	6	2.9571781977605	119873.714507793
25	50	1	6	2	3740.90348451045
25	50	1	6	3.10275911710389	15344.353997503
25	50	1	6	3.66256818716874	2561240.37824756
25	50	1	6	3.66922851364202	167697.566114432
25	50	1	6	3.62753776718447	340958.290074553
25	50	1	6	4.32989087838521	366998.753925947
25	50	1	6	4.1118262375618	1140266.88653832
25	50	1	6	2.24779144026467	7422.27507044856
25	50	1	6	2.60348422452381	7080.1728958095
25	50	1	6	3.40055586849828	1172294.2116025
25	50	1	6	3	132.147181411334
25	50	1	6	3.08505956838993	522.99435573688
25	50	1	6	2.47117936616984	189.352502219194
25	50	1	6	3.45047764724191	887721.99726299
25	50	1	6	4.2365486258163	2977364.0472367
25	50	1	6	3.55604665300221	5259168.21117107
25	50	1	6	3.88770648104435	507146.144519077
25	50	1	6	1	1612.90468386752
25	50	1	6	4.04409301028624	1220916.4550742
25	50	1	6	4.10778813740395	728033.37394883
25	50	1	6	2.66323689765982	1666.45535014345
25	50	1	6	4.33276449284976	86896.9313294716
25	50	1	6	1	27667.1764367065
25	50	1	6	3.82802413736562	1543884.72933517
25	50	1	6	3.55848874722259	6967317.47046302
25	50	1	6	3.55891674448058	1697362.30090977
25	50	1	6	1	26.2607702731777
25	50	1	6	4.28750099171621	1482786.13688649
25	50	1	6	4.651477860513	120190.835045527
25	50	1	6	3.65015578103418	2848828.66888529
25	50	1	6	3.13126504736898	1168.03610101063
25	50	1	6	1	19.7034463598751
25	50	1	6	3.9561371090573	747718.059332485
25	50	1	6	3.34189515049183	1609556.50122481
25	50	1	6	3.62849568396971	241770.113765733
25	50	1	6	2.59522266372799	226.444891721426
25	50	1	6	3.63223963905772	1959983.18453406
25	50	1	6	2.52202130006457	826.702067086136
25	50	1	6	4.30513933457832	408004.304868501
25	50	1	6	1	29.0360785979809
25	50	1	6	3.25807329323204	37052.0878754503
25	50	1	6	2.73855733512848	5145.80652145346
25	50	1	6	4.00382966238579	2903709.92182894
25	50	1	6	3.81098800711344	708471.930570464
25	50	1	6	4.08930177718915	1927665.42179914
25	50	1	6	4.39388628116491	18681.6881491899
25	50	1	6	2.71386706397169	595.989045939598
25	50	1	6	1	23.985003909552
25	50	1	6	3.31253821922588	4807347.46014207
25	50	1	6	3.66441424085611	2398.1549393349
25	50	1	6	3.47704169174899	972808.554353859
25	50	1	6	4.10238367939913	419572.802470456
25	50	1	6	2.74639455632504	10036.3252747957
25	50	1	6	4.24475931070524	17993.1131859257
25	50	1	6	3.93802613030417	449866.830786583
25	50	1	6	3	113.664847664876
25	50	1	6	3.64352944854922	4255091.07390889
25	50	1	6	2	157.393689879735
25	50	1	6	2.74051934387226	3007.85587265802
25	50	1	6	3.63394188853186	740841.037163207
25	50	1	6	3.41399852939249	4826573.6533411
25	50	1	6	2.00000026393645	1649.99283340916
25	50	1	6	2.23810634992651	8516.31440839132
25	50	1	6	2.25315711093371	89.8856885731078
25	50	1	6	2.64354710229033	1010.22727622514
25	50	1	6	4.12756839442558	199817.922319129
25	50	1	6	3.03828035243929	360.56904951174
25	50	1	6	4.08786004009499	16416.0718285417
25	50	1	6	1	29.2771430634575
25	50	1	6	2.84026404266155	17290.9613876017
25	50	1	6	2.99990118459033	80.0510556059072
25	50	1	6	3.27566735776264	2109.43898503442
25	50	1	6	3.70358983837538	3387955.24761078
25	50	1	6	3.69897943604728	216050.69300912
25	50	1	6	4.12644038190311	1227542.52408367
25	50	1	6	3.61856528482854	3945865.64582641
25	50	1	6	2.97339163649474	2099.08732622934
25	50	1	6	3.06020374939088	1973.99895367036
25	50	1	6	3.39807034368306	99256.0501510289
25	50	1	6	4.69739504387911	529873.501392684
25	50	1	6	3.58848525263034	1918455.78923705
25	50	1	6	2.64136235839906	2945.93673307927
20	100	1	6	4.05020293889491	894907.587897094
20	100	1	6	4.05009103512737	539147.45669042
20	100	1	6	4.35326781820016	4809380.49681194
20	100	1	6	3.02706404995338	334.594949891853
20	100	1	6	3.9715435217837	3042892.95572979
20	100	1	6	3.53487336201602	9060507.64183255
20	100	1	6	4.85196001690863	980441.509839325
20	100	1	6	3.94688959875379	9565865.49033547
20	100	1	6	3.785612400427	3234582.52658488
20	100	1	6	4.2153217818685	169481.857339711
20	100	1	6	3.29012128282341	1498.61752963324
20	100	1	6	4.66142793658136	118398.918608798
20	100	1	6	4.57311628530889	283024.39498772
20	100	1	6	3.5250394990073	4981808.71816156
20	100	1	6	3.76765260456768	5850257.4330001
20	100	1	6	3.96193237127592	2942659.42924226
20	100	1	6	3.4221979379575	3831530.59777172
20	100	1	6	3.84566329281337	10829.0360167855
20	100	1	6	4.55417568391905	1885981.39194441
20	100	1	6	3.42737853522976	5103065.32195214
20	100	1	6	3.9748241680135	2227756.36208516
20	100	1	6	3.62713044001181	3347139.39940406
20	100	1	6	3.51770287125453	5863896.30431079
20	100	1	6	4.18104910395971	9301009.66395791
20	100	1	6	3.53317345247585	3449485.41996622
20	100	1	6	3.30451637924516	939.889929679951
20	100	1	6	4.345691511491	810640.334590743
20	100	1	6	3.38924717051462	1301.1625995465
20	100	1	6	4.59306423967128	218005.583981293
20	100	1	6	4.20139092980721	2649533.52013948
20	100	1	6	3.51515779218834	6194551.81343009
20	100	1	6	3.9067076062294	668025.713794293
20	100	1	6	3.77078297032131	17794.1928881613
20	100	1	6	4.1639515410563	4506085.3250081
20	100	1	6	2.52026352128897	17579.6922438253
20	100	1	6	4.31048441826811	443852.755386149
20	100	1	6	3.82118345618506	4384525.02433748
20	100	1	6	4.41400469291586	1521362.75182113
20	100	1	6	4.61057276409688	2689794.65603312
20	100	1	6	4.765970761564	373947.989700572
20	100	1	6	4.16514818131591	1919166.42360717
