"Temp"	"S"	"K"	"BMmax"	"Z"	"omega"	"TLmax"	"maxBM"
20	100	1	6	0.25	0.5	2.70311048343715	325.536673601895
20	100	1	6	0.25	0.5	2.86631199376088	333.162522054323
20	100	1	6	0.25	0.5	3.25208223365153	154.454933138686
20	100	1	6	0.25	0.5	2.8420851473825	209.269750406183
20	100	1	6	0.25	0.5	3.22110933445928	61.3062218948997
20	100	1	6	0.25	0.5	2.78638990511129	138.744146987713
20	100	1	6	0.25	0.5	2.87190288014663	349.602795008591
20	100	1	6	0.25	0.5	2.88397209426989	296.971611462189
20	100	1	6	0.25	0.5	3.18790711760739	216.005763045333
20	100	1	6	0.25	0.5	2.73661805356927	67.3550178438101
20	100	1	6	0.25	0.5	2	13.4984439463687
20	100	1	6	0.25	0.5	3.2457111812742	300.381698920472
20	100	1	6	0.25	0.5	2	408.014985260912
20	100	1	6	0.25	0.5	2.72006050412645	29.7519035556636
20	100	1	6	0.25	0.5	2.69354840833777	131.283535916168
20	100	1	6	0.25	0.5	2	28.9161169929414
20	100	1	6	0.25	0.5	2.92345582887145	322.753239999485
20	100	1	6	0.25	0.5	2	11.7721777028952
20	100	1	6	0.25	0.5	2.78977649118642	82.5455421389127
20	100	1	6	0.25	0.5	3.41324719477115	381.243909696614
20	100	1	6	0.25	0.5	2.33068972554418	37.0692869491632
20	100	1	6	0.25	0.5	3.01011371138248	100.221972586986
20	100	1	6	0.25	0.5	3.12600039645163	260.041434469183
20	100	1	6	0.25	0.5	3.04120785082101	259.143959387859
20	100	1	6	0.25	0.5	2.68621648162154	7.80128695586451
20	100	1	6	0.25	0.5	2.88642754323552	113.045923241947
20	100	1	6	0.25	0.5	2.81394363691592	257.796995990842
20	100	1	6	0.25	0.5	2.81848129587572	82.7158497296529
20	100	1	6	0.25	0.5	2.72637789216348	97.3899904504328
20	100	1	6	0.25	0.5	2.74111635243172	296.056169023995
20	100	1	6	0.25	0.5	3.05746650435048	150.242379978009
20	100	1	6	0.25	0.5	2	434.473415402667
20	100	1	6	0.25	0.5	3.27023151405443	282.840915060554
20	100	1	6	0.25	0.5	2.69324407469221	274.789985293775
20	100	1	6	0.25	0.5	2	2.97321474319026
20	100	1	6	0.25	0.5	3.11422359769409	188.258783780246
